S,-0.3086,0.4349,-0.881,0,-0.3781,-0.3506,2,1,0,1
S,-0.3086,0.2321,0.2036,0,-0.3594,-0.3506,2,1,0,1
S,0.713,-0.5624,-0.2537,0,-0.3407,0.8592,1,1,1,1
C,2.1771,-0.5312,0.1582,0,-0.322,1.1012,1,1,1,1
C,-0.2972,-0.2681,-0.5287,2,-0.2473,-0.3506,1,1,0,0
S,-0.3077,0.8639,0.8844,1,0.0891,-0.3506,1,1,0,1
C,-0.2878,-0.3162,-0.7188,1,-0.2473,-0.1087,1,1,0,1
C,-0.276,-0.1968,0.5771,0,-0.3594,-0.1087,1,1,0,1
S,1.9138,-0.4567,1.7464,2,-0.3407,-0.3506,2,1,1,1
C,-0.3097,0.1016,0.1443,1,-0.3781,-0.3506,1,1,0,0
C,-0.3103,-0.4721,-0.6949,1,-0.3594,-0.3506,1,1,0,1
C,-0.3097,-0.2174,-0.9993,1,-0.2473,-0.3506,1,1,0,1
C,0.7051,-0.5513,0.8289,0,-0.2473,0.1333,1,1,1,0
C,-0.3044,-0.5143,-1.0332,0,-0.3781,-0.3506,2,1,0,1
C,-0.3044,-0.5143,-1.0332,0,-0.3407,-0.3506,2,1,0,1
C,-0.3044,-0.5143,-1.0332,0,-0.3594,-0.3506,2,1,0,1
S,-0.3044,-0.5143,-1.0332,0,-0.3781,-0.1087,3,1,0,1
C,-0.3101,-0.3669,-0.9986,0,-0.3781,-0.1087,1,0,0,1
C,-0.2987,-0.4298,0.3028,2,-0.266,-0.3506,1,1,0,1
C,-0.3056,0.577,-0.7684,1,-0.266,0.3753,1,1,0,1
C,-0.272,-0.4118,-0.9396,1,-0.1912,-0.3506,1,1,0,0
C,-0.3103,-0.0056,-0.6497,1,-0.2099,-0.3506,1,0,0,1
C,-0.305,-0.2407,0.6554,1,-0.2846,-0.3506,2,0,0,0
C,-0.3015,-0.5201,-0.4075,1,-0.3781,-0.1087,1,1,1,1
S,-0.2985,-0.2988,-0.8283,1,-0.3781,-0.3506,1,0,0,1
S,-0.3089,-0.3035,-0.2125,0,-0.3781,-0.3506,1,0,0,1
S,-0.294,-0.5592,-0.7396,0,-0.3781,-0.3506,1,0,0,1
S,-0.2109,-0.3109,3.017,0,-0.3407,-0.3506,1,0,0,1
S,0.1511,-0.3944,-0.1981,1,-0.2099,-0.3506,1,0,1,1
S,-0.3022,0.5179,1.813,1,-0.2099,-0.3506,1,0,0,1
S,6.358,-0.3194,1.2852,0,-0.2099,1.8271,1,0,1,1
C,-0.3096,-0.4118,-0.0703,3,0.0144,-0.3506,2,1,0,0
C,-0.2755,-0.1282,0.4133,0,-0.3594,-0.3506,1,1,1,1
S,-0.1312,-0.1646,-0.8197,0,0.1452,3.037,1,0,1,1
C,-0.3035,2.0852,-1.0848,2,-0.3407,-0.3506,2,1,0,0
C,-0.307,-0.5634,-0.0002,0,-0.3781,-0.3506,1,1,0,1
S,-0.2954,-0.4367,-0.0388,0,-0.322,-0.3506,1,0,0,1
S,1.9405,-0.2697,3.0046,0,-0.2846,0.3753,1,1,1,1
S,-0.3098,0.4894,-0.765,1,-0.3407,-0.3506,1,0,0,1
S,-0.307,1.5754,-0.7282,1,-0.322,-0.3506,1,0,0,1
S,-0.307,1.5754,-0.7282,1,-0.266,-0.3506,1,0,0,1
S,-0.3101,-0.1424,-0.0736,2,-0.2846,-0.3506,1,1,0,1
C,-0.3081,-0.256,0.2897,0,-0.3407,0.1333,1,0,0,1
S,-0.3042,-0.2972,-0.9441,2,-0.2846,-0.3506,1,1,0,1
S,-0.3105,-0.3241,-0.9913,1,-0.2846,0.1333,1,1,0,1
C,-0.3102,-0.0901,-0.3043,1,-0.3594,-0.3506,2,1,0,0
C,-0.276,-0.1968,0.5771,0,-0.3781,-0.3506,1,1,0,1
C,-0.2778,0.6425,1.7353,3,0.0144,-0.3506,2,1,0,1
C,-0.3103,-0.3178,-0.0842,3,0.0144,-0.3506,2,1,0,1
C,-0.3074,-0.2697,-0.4076,3,0.0144,-0.3506,2,1,0,0
C,-0.2819,-0.4388,0.9594,2,0.0144,0.1333,2,1,0,0
C,-0.1197,-0.3933,-0.019,0,-0.3594,-0.1087,1,1,0,1
C,-0.3074,-0.21,2.2731,1,-0.3594,-0.3506,1,1,0,0
C,-0.3048,-0.5059,-0.321,0,-0.3594,-0.3506,1,1,0,1
S,-0.2835,-0.5582,0.0124,0,-0.2286,0.6172,1,0,0,1
S,-0.3087,0.0541,2.1334,1,-0.2846,-0.3506,1,0,0,1
C,-0.3026,0.4867,-0.2326,1,-0.3407,0.1333,2,1,0,0
